=======================================================================================
AI DATA FILE - Xi'Chung AI Speech - Captain Kwok's Balance Mod v125+
=======================================================================================

Replacement Symbols used:
[%OurEmperorTitle%]       - Our Emperor's Title
Send Propose Treaty 1                                                := thhp kzzk-bzk-ktk dzk-dzzp-zzp <[%ProposedTreatyName%]> bzzp-grk-kzkt. bzzp-grk-kzkt tk tk-thhp-dzzp-kzzk.
Send Propose Treaty 2                                                := tk-thhp-dzzp-kzzk bzk-szk-dzzp <treaty> szt-kzzk-bzk bzk-krk kzzk-dzk-dzzp-bzk <agree> szk-thhp thhp <suffer>.
Send Propose Treaty 3                                                := bzk-krk szk-kzzk-szk <[%TargetEmperorName%]> tk-grk tk dzk-thhp-bzzp-krk tk szk-thhp <agree> tk tk-grk bzk-krk <danger>?
Send Propose Treaty 4                                                := tk-thhp-dzzp-kzzk dzk thkk-szk-dzzp-krk tk-grk <[%ProposedTreatyName%]> kzzk-dzk-dzzp-bzk bzk-krk?
Send Propose Treaty 5                                                := tk-thhp-dzzp-kzzk klk-dk-szk thhp tk szk-kzzk-szk bzzp-grk-kzkt <[%ProposedTreatyName%]> kzkt-szk-tskk <avoid> thkk-szk-dzzp-krk <war>.
Send Propose Change In Treaty 1                                         := We would like to propose changes in our existing treaty.
Send Propose Change In Treaty 2                                         := A revised version of our treaty would benefit us both.
Send Propose Change In Treaty 3                                         := Let us renew our treaty and its requirements.
Send Propose Change In Treaty 4                                         := Our treaty needs amending.
Send Propose Change In Treaty 5                                         := Our current treaty is not adequately meeting our needs. We wish to revise it. 
Send Accept Treaty Proposal 1                                        := kzkt-szk-tskk dzk-dzzp-zzp <accept> kzzk-bzk-ktk.
Send Accept Treaty Proposal 2                                        := szk-kzzk-szk kzzk-dzk-dzzp-bzk tk <[%ProposedTreatyName%]> bzk-tk-dzk <accept> bzzp-grk-kzkt.
Send Accept Treaty Proposal 3                                        := thhp kzzk-bzk-ktk tk-grk <accept> thkk-szk-dzzp-krk <make> kzzk-dzk-dzzp-bzk <peace>.
Send Accept Treaty Proposal 4                                        := dzk-dzzp-zzp bzzp-grk-kzkt <trust> bzzp-grk-kzkt <[%TargetEmpireName%]> bzk-krk kzzk-dzk <regret> dzzp-bzk?
Send Accept Treaty Proposal 5                                        := kzkt-szk-tskk szk-kzzk-szk <treaty> bzk-tk-dzk kzzk-bzk-ktk <peace> bzk-krk kzzk-bzk-ktk <[%TargetEmpireName%]> tk?
Send Accept Treaty Changes 1                                         := thkk-szk-dzzp-krk <accept> tk-thhp-dzzp-kzzk kzkt-szk-tskk <change> bzk-krk. bzk-tk-dzk <favor> kzzk-bzk-ktk <[%TargetEmperorName%]>.
Send Accept Treaty Changes 2                                         := dzk kzkt-szk-tskk <change> thkk-szk-dzzp-krk dzk tk-grk <[%TreatyName%]> tk <accept>.
Send Accept Treaty Changes 3                                         := kzzk-bzk-ktk tk-grk <[%TreatyName%]> dzk-dzzp-zzp tk-grk <accept> bzk-krk kzkt-szk-tskk <time>!
Send Accept Treaty Changes 4                                         := kzzk-dzk-dzzp-bzk thhp <[%TreatyName%]> kzkt-szk-tskk <change> dzk-thhp-bzzp-krk <accept> dzk-thhp-bzzp-krk.
Send Accept Treaty Changes 5                                         := szk-thhp bzk-krk thkk-szk-dzzp-krk <accept> bzk-szk-dzzp bzk-szk-dzzp <treaty> dzk-dzzp-zzp.
Send Refuse Treaty Proposal 1                                        := thkk-szk-dzzp-krk tk-grk <refuse> bzk-szk-dzzp <[%ProposedTreatyName%]> kzzk-bzk-ktk <garbage> bzk-tk-dzk.
Send Refuse Treaty Proposal 2                                        := tk bzk-szk-dzzp dzk tk-thhp-dzzp-kzzk <never> dzk-dzzp-zzp <accept> dzk-thhp-bzzp-krk kzzk-bzk-ktk <[%TargetEmpireName%]> tk-dzk!
Send Refuse Treaty Proposal 3                                        := dzk-grk! Szk-kzzk-szk thkk-szk-dzzp-krk <bad> tk <[%TargetEmperorName%]> tk-grk thhp <treaty> kzkt-szk-tskk dzk bzk-tk-dzk.
Send Refuse Treaty Proposal 4                                        := bzk-krk szk-kzzk-szk <ugly> thkk-szk-dzzp-krk <treaty> szt-kzzk-bzk bzk-krk <[%ProposedTreatyName%]>!
Send Refuse Treaty Proposal 5                                        := dzk tk szk-thhp <bad> klk-dk-szk <treaty> tk <[%OurEmpireName%]> szt-kzzk-bzk <time> kzzk-dzk-dzzp-bzk <[%TargetEmperorName%]>!
Send Refuse Treaty Changes 1                                         := dzk-dzzp-zzp dzk szk-kzzk-szk <change> bzzp-grk-kzkt dzk <bad> tk <[%OurEmpireName%]> kzzk-dzk-dzzp-bzk klk-dk-szk.
Send Refuse Treaty Changes 2                                         := bzk-tk-dzk kzzk-bzk-ktk <garbage> tk-grk tk <change> kzzk tk <[%TreatyName%]> thhp-dzzp.
Send Refuse Treaty Changes 3                                         := tk bzk-szk-dzzp <[%TreatyName%]> dzk <change> tk-thhp-dzzp-kzzk <[%TargetEmpireName%]> dzk-zzp <bad>.
Send Refuse Treaty Changes 4                                         := dzk-thhp-bzzp <treaty> krk <part> szk-thhp tk-thhp-dzzp-kzzk <change> bzk-szk-dzzp <bad> tk <[%OurEmpireName%]>.
Send Refuse Treaty Changes 5                                         := bzk-krk szk-kzzk-szk thkk-szk-dzzp-krk <change> szt-kzzk-bzk <part> <bad> bzk-krk tk <[%OurEmpireName%]>.
Send Counter Treaty Proposal 1                                       := Kzzk-dzk-dzzp-bzk bzzp-grk-kzkt tk-grk <treaty> <part> tk <[%OurEmpireName%]>. kzzk-bzk-ktk <give> tk <[%TargetEmpireName%]> tk-thhp-dzzp-kzzk.
Send Counter Treaty Proposal 2                                       := Bzk-krk szk-kzzk-szk <[%ProposedTreatyName%]> kzzk-tk <bad>. thkk-szk-dzzp-krk szt-kzzk-bzk bzk-krk <change> <[%TargetEmperorName%]>?
Send Counter Treaty Proposal 3                                       := bzk-szk-dzzp tk <[%ProposedTreatyName%]> szk-thhp <bad> tk <[%OurEmpireName%]>. tk-thhp-dzzp-kzzk dzk <change> dzk <part> szk-thhp <accept>?
Send Counter Treaty Proposal 4                                       := dzk-thhp-bzzp-krk <garbage> bzzp-grk-kzkt. tk <angry> kzzk-bzk-ktk tk-grk <treaty> thhp <change> tk <[%TargetEmpireName%]> tk <peace> zzp?
Send Counter Treaty Proposal 5                                       := thkk-szk-dzzp-krk kzkt-szk-tskk <bad> <part> szk-thhp <accept>. kzzk-bzk-ktk klk-dk-szk <new> thhp <part> bzk-tk-dzk dzk-thhp-bzzp-krk <[%TargetEmperorName%]>?
Send Counter Treaty Changes 1                                        := klk-dk-szk dzk-thhp-bzzp-krk <change> bzzp-grk-kzkt <part> thhp <treaty>. <[%OurEmpireName%]> <make> klk-dk-szk <equal> dzk tk-grk.
Send Counter Treaty Changes 2                                        := dzk kzzk-dzk-dzzp-bzk szk-thhp <change> tk <[%TreatyName%]> tk-thhp-dzzp-kzzk <part> kzzk-dzk-dzzp-bzk tk <[%TargetEmpireName%]> grk <agree> bzk-tk-dzk?
Send Counter Treaty Changes 3                                        := dzk tk tk-grk tk <[%TargetEmperorName%]> bzzp-grk-kzkt <treaty> tk <part> dzk-thhp-bzzp-krk <change> szt-kzzk-bzk <accept> grk?
Send Counter Treaty Changes 4                                        := tk-grk bzk-tk-dzk bzk-krk thhp tk <[%TargetEmperorName%]> grk? <treaty> bzzp-grk-kzkt <part> tk-thhp <peace> dzzp-kzzk. dzk bzzp-grk-kzkt thhp <accept> bzk-krk <anger> kzzk <[%OurEmpireName%]>?
Send Counter Treaty Changes 5                                        := tk-grk thhp <easy> kzkt-szk-tskk <change> dzk bzk-tk-dzk <accept> grk?
Send Break Treaty 1                                                  := thkk-szk-dzzp-krk <[%TargetEmpireName%]> szk-thhp <actions> tk-thhp-dzzp-kzzk <treaty> tk <broken>. dzk dzk-thhp-bzzp-krk dzk <[%TargetEmperorName%]>.
Send Break Treaty 2                                                  := tk-grk tk kzzk-bzk-ktk <trust> tk <[%TargetEmperorName%]>. tk-thhp-dzzp <treaty> kzzk <end> kzzk-bzk-ktk tk <danger> tk <time> tk <[%TargetEmpireName%]>!
Send Break Treaty 3                                                  := dzk-grk tk <[%TargetEmpireName%]>! thkk-szk-dzzp-krk <peace> tk-grk <end> thhp kzkt-szk-tskk <bad> <time> dzk <[%TargetEmperorName%]> bzk-tk-dzk.
Send Break Treaty 4                                                  := thkk-szk-dzzp-krk <end> bzk-tk-dzk tk-grk <broken> szt-kzzk-bzk thhp. bzk-szk-dzzp dzk-dzzp-zzp szt dzk-grk <[%TargetEmperorName%]>!
Send Break Treaty 5                                                  := Thhp kzzk-bzk-ktk <time> kzzk <peace> bzzp-grk-kzkt <end> bzzp-grk-kzkt tk <treaty>.
Send Propose Trade 1                                                    := We wish to trade with your people.
Send Propose Trade 2                                                    := This trade is mutually beneficial for our peoples.
Send Propose Trade 3                                                    := There are several items we are looking to procure.
Send Propose Trade 4                                                    := We propose a trade of these items.
Send Propose Trade 5                                                    := We offer an excellent bargain!
Send Accept Trade 1                                                     := Your proposed trade is acceptable to us.
Send Accept Trade 2                                                     := This deal has been accepted by our regents.
Send Accept Trade 3                                                     := You are a skilled trader. We accept your offer.
Send Accept Trade 4                                                     := We accept your generous trade offer.
Send Accept Trade 5                                                     := Trade accepted. Please come again.
Send Refuse Trade 1                                                     := This trade is worthless to us.
Send Refuse Trade 2                                                     := There is nothing of value in what you offer. We must refuse your trade.
Send Refuse Trade 3                                                     := Though we encourage trade, we cannot accept this offer.
Send Refuse Trade 4                                                     := Your proposed trade is not beneficial to us. We must decline.
Send Refuse Trade 5                                                     := You need to work harder at learning what we like.
Send Counter Trade Proposal 1                                           := We have revised your trade proposal. It is now acceptable to us.
Send Counter Trade Proposal 2                                           := Not bad, but we have a better offer. Take a look at this.
Send Counter Trade Proposal 3                                           := Your offer was not quite to our tastes, how about this one instead.
Send Counter Trade Proposal 4                                           := Your proposed trade is interesting, but we have a better trade proposal.
Send Counter Trade Proposal 5                                           := Your trade had few benefits for us. Here is one we prefer.
Send Give Gift 1                                                        := We provide this offering in the interests of peace.
Send Give Gift 2                                                        := Your friendship is valued to us. We offer this gift in honor of our ally.
Send Give Gift 3                                                        := In honor of our ancient leaders, we offer gifts in this time of plenty.
Send Give Gift 4                                                        := Here is a gift from our empire to yours.
Send Give Gift 5                                                        := This gift is to ensure our lasting peace.
Send Accept Gift 1                                                      := We appreciate this gift. May the winds guide you to fortune.
Send Accept Gift 2                                                      := Your gift has been accepted by [%OurEmperorTitle%] [%OurEmperorName%].
Send Accept Gift 3                                                      := You honor us.
Send Accept Gift 4                                                      := Thank-you for the generous gift.
Send Accept Gift 5                                                      := Your gift will not go unrewarded.
Send Refuse Gift 1                                                      := We cannot accept such a gift.
Send Refuse Gift 2                                                      := Your gift angers us.
Send Refuse Gift 3                                                      := This gift does not lead to a stronger alliance.
Send Refuse Gift 4                                                      := Your gift is insulting, we must refuse it.
Send Refuse Gift 5                                                      := Take back your gifts, and come back when you learn proper respect.
Send Propose New Alliance 1                                             := We would like to propose an alliance  between us.
Send Propose New Alliance 2                                             := You must join us in a new alliance.
Send Propose New Alliance 3                                             := Together in an alliance we can hold back our enemies. Join us.
Send Propose New Alliance 4                                             := We wish for you to join us and create "[%ProposedAllianceName%]".
Send Propose New Alliance 5                                             := We propose an alliance to be known as "[%ProposedAllianceName%]".
Send Accept Alliance Proposal 1                                         := Your alliance offer is acceptable. Rejoice in our new union!
Send Accept Alliance Proposal 2                                         := Our regents have reviewed your proposal and we accept.
Send Accept Alliance Proposal 3                                         := We welcome the creation of this new alliance.
Send Accept Alliance Proposal 4                                         := We toast to our new alliance!
Send Accept Alliance Proposal 5                                         := History will mark this day as the creation of our great new alliance. 
Send Refuse Alliance Proposal 1                                         := Our regents have rejected your proposal.
Send Refuse Alliance Proposal 2                                         := We cannot join with you in an alliance at this time.
Send Refuse Alliance Proposal 3                                         := Now is not the time for alliances.
Send Refuse Alliance Proposal 4                                         := We cannot afford to lose our cultural identity to an alliance.
Send Refuse Alliance Proposal 5                                         := We do not entirely trust you. The alliance can wait for now.
Send Counter Alliance Proposal 1                                        := We do not care for your proposal. Here is our revised proposal. 
Send Counter Alliance Proposal 2                                        := Your proposal is unacceptable. We require these changes. 
Send Counter Alliance Proposal 3                                        := This alliance is unbalanced to us. We must have these changes before we accept. 
Send Counter Alliance Proposal 4                                        := To be more equatable, we require these changes in the alliance rules. 
Send Counter Alliance Proposal 5                                        := This alliance proposal needed changes, refuse them at your own risk.
Send Break With Alliance 1                                              := We can no longer be a part of this alliance. We must regretfully leave the alliance.
Send Break With Alliance 2                                              := [%AllianceName%] no longer serves our needs. We resign our membership. 
Send Break With Alliance 3                                              := [%AllianceName%] has become decadent and complacent. We can no longer be a part of it. 
Send Break With Alliance 4                                              := Our alliance can no longer stand. We wish to leave it. 
Send Break With Alliance 5                                              := [%AllianceName%] is dead. The sooner you realize it the better. 
Send Change Alliance Rule 1                                             := We require an amendment to the rules of this alliance. 
Send Change Alliance Rule 2                                             := [%AllianceName%] needs some rules changes. 
Send Change Alliance Rule 3                                             := We wish to make some adjustments to the alliance's rules.
Send Change Alliance Rule 4                                             := The rules of [%AllianceName%] are sadly out of date. Here are our change recommendations.
Send Change Alliance Rule 5                                             := We propose the following changes to the rules of this alliance.
Send Add Empire To Alliance 1                                           := We recommend that the [%OtherEmpireName%] be allowed to join our alliance. 
Send Add Empire To Alliance 2                                           := We propose the addition of a new member to the alliance. 
Send Add Empire To Alliance 3                                           := The [%OtherEmpireName%] would make a terrific addition to [%AllianceName%]. 
Send Add Empire To Alliance 4                                           := We wish to petition for the acceptance of the [%OtherEmpireName%] to our alliance.
Send Add Empire To Alliance 5                                           := It is time to expand the alliance. We believe the [%OtherEmpireName%] would make an excellent member. 
Send Remove Empire From Alliance 1                                      := The [%OtherEmpireName%] can no longer be trusted. We demand their immediate removal from the alliance. 
Send Remove Empire From Alliance 2                                      := It is our sad duty to recommend that the [%OtherEmpireName%] be removed from the alliance. 
Send Remove Empire From Alliance 3                                      := The [%OtherEmpireName%] is not carrying its weight. Its membership in this alliance must be terminated. 
Send Remove Empire From Alliance 4                                      := We can no longer tolerate the [%OtherEmpireName%] as a member of this alliance. 
Send Remove Empire From Alliance 5                                      := [%AllianceName%] is growing weak with the continuing membership of the [%OtherEmpireName%] in it. They must be removed. 
Send Propose Empire Join Alliance 1                                     := We would like the [%TargetEmpireName%] to join [%AllianceName%].
Send Propose Empire Join Alliance 2                                     := We welcome the addition of the [%TargetEmpireName%] to [%AllianceName%].
Send Propose Empire Join Alliance 3                                     := [%AllianceName%] has recognized the strength and the power of the [%TargetEmpireName%]. We wish you to join us. 
Send Propose Empire Join Alliance 4                                     := Together we are stronger. Please join [%AllianceName%].
Send Propose Empire Join Alliance 5                                     := You can no longer stand on your own. You need the [%AllianceName%] to stay alive. 
Send Want A Gift 1                                                      := We require a gift to show your devotion.
Send Want A Gift 2                                                      := A gift is required of your people.
Send Want A Gift 3                                                      := There are many forces at work here. A gift might make us more understanding of your cause.
Send Want A Gift 4                                                      := Your many insults can only be forgotten if you show your friendship with gifts.
Send Want A Gift 5                                                      := [%TargetEmperorTitle%] [%TargetEmperorName%], the time has come to repay your debts.
Send Demand Your Surrender 1                                            := Your empire is about to fall, we demand your surrender.
Send Demand Your Surrender 2                                            := Surrender or perish.
Send Demand Your Surrender 3                                            := Surrender to us and we will spare your life, [%TargetEmperorTitle%] [%TargetEmperorName%].
Send Demand Your Surrender 4                                            := You have fought valiantly, but genocide is not what we desire.
Send Demand Your Surrender 5                                            := You shall become part of a greater whole.
Send Stop Aggression Against Empire 1                                   := Your aggression against the [%OtherEmpireName%] is unjustified. Cease at once.
Send Stop Aggression Against Empire 2                                   := Any more attacks on the [%OtherEmpireName%], and we shall join with them to annihilate you.
Send Stop Aggression Against Empire 3                                   := Have you gone mad? Stop your unprovoked attacks against the [%OtherEmpireName%] immediately!
Send Stop Aggression Against Empire 4                                   := If it comes down to the [%OtherEmpireName%] and the [%TargetEmpireName%], we will pick the [%OtherEmpireName%] every time.
Send Stop Aggression Against Empire 5                                   := Your disagreements with the [%OtherEmpireName%] can be handled in other ways.
Send Break Treaty With Empire 1                                         := We demand that you break your treaty with the [%OtherEmpireName%].
Send Break Treaty With Empire 2                                         := How can you ally yourselves with the deceitful [%OtherEmpireName%]?
Send Break Treaty With Empire 3                                         := If you forge bonds with our most hated enemy the [%OtherEmpireName%], then we shall consider you an enemy as well.
Send Break Treaty With Empire 4                                         := A warning from our people to yours, the [%OtherEmpireName%] will betray you.
Send Break Treaty With Empire 5                                         := As long as you maintain a treaty with the [%OtherEmpireName%], there can be no friendship between us.
Send Declare War On Empire 1                                            := You must immediately declare war on the [%OtherEmpireName%].
Send Declare War On Empire 2                                            := The [%OtherEmpireName%] have devastated our people. You must join with us and destroy them!
Send Declare War On Empire 3                                            := War is the only language the [%OtherEmpireName%] understand.
Send Declare War On Empire 4                                            := We must purge the galaxy of the vile [%OtherEmpireName%]!
Send Declare War On Empire 5                                            := Join with us brother, the [%OurEmpireName%] and the [%TargetEmpireName%] shall defeat the lowly [%OtherEmpireName%]!
Send Make Peace With Empire 1                                           := You must make peace with the [%OtherEmpireName%].
Send Make Peace With Empire 2                                           := We demand that you cease your hostilities and make peace with the [%OtherEmpireName%].
Send Make Peace With Empire 3                                           := The [%OtherEmpireName%] deserve a chance at friendship.
Send Make Peace With Empire 4                                           := The [%OtherEmpireName%] are allies of ours. You must establish relations with them or suffer our disfavor.
Send Make Peace With Empire 5                                           := Your aggression against the [%OtherEmpireName%] is reckless. You must make peace.
Send Want To Join Alliance 1                                            := We wish to join [%AllianceName%] and become a new member. 
Send Want To Join Alliance 2                                            := We humbly petition [%AllianceName%] for entry. 
Send Want To Join Alliance 3                                            := [%AllianceName%] must admit our empire to remain strong!
Send Want To Join Alliance 4                                            := The [%OurEmpireName%] would be a major asset to [%AllianceName%].
Send Want To Join Alliance 5                                            := We formally request admittance to [%AllianceName%] as an equal member. 
Send Break Your Membership In Alliance 1                                := Your membership in [%AllianceName%] is an affront to us. Break with the alliance or suffer our wrath. 
Send Break Your Membership In Alliance 2                                := [%AllianceName%] is weak and its enemies close about it. Sever your ties with them before its too late. 
Send Break Your Membership In Alliance 3                                := [%AllianceName%] is ripe for take over. Leave them or fall with them. 
Send Break Your Membership In Alliance 4                                := If you continue to participate in [%AllianceName%], we will be forced to destroy you. 
Send Break Your Membership In Alliance 5                                := [%AllianceName%] does not care about you. You are merely fodder for their war efforts. 
Send Join Alliance 1                                                    := You must join [%AllianceName%] and become stronger with the whole!
Send Join Alliance 2                                                    := [%AllianceName%] would be a good match for your resources. 
Send Join Alliance 3                                                    := Your only alternative appears to be to join [%AllianceName%]. 
Send Join Alliance 4                                                    := Our alliance [%AllianceName%] is seeking new members. You should petition to join. 
Send Join Alliance 5                                                    := [%AllianceName%] is strong and would help you survive in such a harsh galaxy. 
Send Stop Espionage Against Us 1                                        := Stop your espionage activities against us at once!
Send Stop Espionage Against Us 2                                        := We have discovered your pathetic spies and executed them. We consider your spying an act of war.
Send Stop Espionage Against Us 3                                        := We know that you have been spying against our government. This is your last warning.
Send Stop Espionage Against Us 4                                        := We have caught you stealing from us! We will tolerate this no longer.
Send Stop Espionage Against Us 5                                        := Are you so lowly that you must steal from your neighbors? Do so again at your own risk.
Send Stop Espionage Against Empire 1                                    := You must immediately stop your espionage attacks against the [%OtherEmpireName%].
Send Stop Espionage Against Empire 2                                    := Your pathetic espionage attacks against the [%OtherEmpireName%] will be your undoing. 
Send Stop Espionage Against Empire 3                                    := Desist your espionage against the [%OtherEmpireName%] immediately. 
Send Stop Espionage Against Empire 4                                    := We will only give you one warning. Any more espionage against the [%OtherEmpireName%] will mean war. 
Send Stop Espionage Against Empire 5                                    := Your unjustified espionage attacks on the [%OtherEmpireName%] make you look pathetic.
Send Stop Sabotage Against Us 1                                         := Stop your sabotage activities against us at once!
Send Stop Sabotage Against Us 2                                         := We know that it was you that sabotaged us. You have brought us to the brink of all out war.
Send Stop Sabotage Against Us 3                                         := We cannot allow your treachery to go unpunished. We shall have our revenge.
Send Stop Sabotage Against Us 4                                         := Your people are not welcome in our space. You speak of peace, but sabotage was your real motive.
Send Stop Sabotage Against Us 5                                         := We have discovered your spies too late to stop them in their terrible crime. Next time, we will be ready.
Send Stop Sabotage Against Empire 1                                     := Continuing sabotage against the [%OtherEmpireName%] will result in your demise. You have been warned. 
Send Stop Sabotage Against Empire 2                                     := The [%OurEmpireName%] will not sit idly by while you conduct sabotage against the [%OtherEmpireName%]. 
Send Stop Sabotage Against Empire 3                                     := For every sabotage attack on the [%OtherEmpireName%], we will conduct one against you!
Send Stop Sabotage Against Empire 4                                     := Your childish sabotage attacks on the [%OtherEmpireName%] are reducing your standing in the galactic community. 
Send Stop Sabotage Against Empire 5                                     := Imperiling innocent citizens of the [%OtherEmpireName%] will result in widespread opposition to your agenda. 
Send Stop Ship Attacks In System 1                                      := Stop your flagrant attacks in the [%SystemName%] system.
Send Stop Ship Attacks In System 2                                      := Your aggression in the [%SystemName%] system will not be tolerated.
Send Stop Ship Attacks In System 3                                      := The [%SystemName%] system is our sovereign territory. You have no right to engage our forces there.
Send Stop Ship Attacks In System 4                                      := Your puny attacks in the [%SystemName%] system will be your demise!
Send Stop Ship Attacks In System 5                                      := Cease your aggression in the [%SystemName%] system or suffer our wrath.
Send Request Military Assistance 1                                      := We immediately request any and all military assistance you can render for our empire. 
Send Request Military Assistance 2                                      := The [%TargetEmpireName%] has always been our friend and ally. We call on you to lend any military support you can. 
Send Request Military Assistance 3                                      := The [%OurEmpireName%] is in dire need to your military assistance!
Send Request Military Assistance 4                                      := We call upon the [%TargetEmpireName%] to honor its agreements and help in our military actions. 
Send Request Military Assistance 5                                      := If the [%OurEmpireName%] falls, the [%TargetEmpireName%] will soon follow. 
Send Request Military Assistance Against Empire 1                       := We require your support against the [%OtherEmpireName%].
Send Request Military Assistance Against Empire 2                       := The vile [%OtherEmpireName%] have blatantly defiled our territory. You must aide in our defense.
Send Request Military Assistance Against Empire 3                       := We call upon the terms of our treaty in demanding that you attack the [%OtherEmpireName%].
Send Request Military Assistance Against Empire 4                       := The [%OtherEmpireName%] have begun a dangerous military expansion. We must band together to stop them.
Send Request Military Assistance Against Empire 5                       := If you do not help us against the [%OtherEmpireName%], we shall turn our hatred on your people as well.
Send Request Military Assistance In System 1                            := We must coordinate our military efforts in the [%SystemName%] system.
Send Request Military Assistance In System 2                            := Our mutual enemies have left themselves vulnerable in the [%SystemName%] system. You must direct your attack there.
Send Request Military Assistance In System 3                            := Our spies tell us that the [%SystemName%] system is a key focal point of this quadrant. We are sending several fleets there, you must as well.
Send Request Military Assistance In System 4                            := Enemy forces are causing us serious hardship in the [%SystemName%] system. We call upon our treaty to ask that you send forces there immediately.
Send Request Military Assistance In System 5                            := The [%SystemName%] system is being invaded by enemy ships. Our combined forces there may stop the onslaught.
Send Request Economic Assistance 1                                      := We request any economic assistance the [%TargetEmpireName%] can lend us. We need [%ResourceType%].
Send Request Economic Assistance 2                                      := The [%OurEmpireName%] urgently requests economic assistance of any kind! We have a shotfall of approximately [%ResourceAmount%] [%ResourceType%].
Send Request Economic Assistance 3                                      := We would like to petition the [%TargetEmpireName%] for a resource loan. We could use [%ResourceAmount%] [%ResourceType%], if you can spare them.
Send Request Economic Assistance 4                                      := Due to recent setbacks in our resource production, we could use some aid from the [%TargetEmpireName%]. We need [%ResourceType%] and whatever you can spare.
Send Request Economic Assistance 5                                      := If the [%TargetEmpireName%] can spare some resources, we have an urgent need for [%ResourceType%].
Send Request Technological Assistance 1                                 := Due to an unanticipated computer virus, we have lost years worth of vital research. We humbly request any technological assistance you can render. 
Send Request Technological Assistance 2                                 := Noting the recent impressive achievements by the [%TargetEmpireName%], we were wondering if you might share some of your technological wonders with a neighboring empire?
